@RELATION skeleton

@ATTRIBUTE x0 REAL
@ATTRIBUTE y0 REAL
@ATTRIBUTE z0 REAL
@ATTRIBUTE x1 REAL
@ATTRIBUTE y1 REAL
@ATTRIBUTE z1 REAL
@ATTRIBUTE x2 REAL
@ATTRIBUTE y2 REAL
@ATTRIBUTE z2 REAL
@ATTRIBUTE x5 REAL
@ATTRIBUTE y5 REAL
@ATTRIBUTE z5 REAL
@ATTRIBUTE x6 REAL
@ATTRIBUTE y6 REAL
@ATTRIBUTE z6 REAL
@ATTRIBUTE x8 REAL
@ATTRIBUTE y8 REAL
@ATTRIBUTE z8 REAL
@ATTRIBUTE x11 REAL
@ATTRIBUTE y11 REAL
@ATTRIBUTE z11 REAL
@ATTRIBUTE x12 REAL
@ATTRIBUTE y12 REAL
@ATTRIBUTE z12 REAL
@ATTRIBUTE x14 REAL
@ATTRIBUTE y14 REAL
@ATTRIBUTE z14 REAL
@ATTRIBUTE x16 REAL
@ATTRIBUTE y16 REAL
@ATTRIBUTE z16 REAL
@ATTRIBUTE x17 REAL
@ATTRIBUTE y17 REAL
@ATTRIBUTE z17 REAL
@ATTRIBUTE x19 REAL
@ATTRIBUTE y19 REAL
@ATTRIBUTE z19 REAL
@ATTRIBUTE x20 REAL
@ATTRIBUTE y20 REAL
@ATTRIBUTE z20 REAL
@ATTRIBUTE x21 REAL
@ATTRIBUTE y21 REAL
@ATTRIBUTE z21 REAL
@ATTRIBUTE x23 REAL
@ATTRIBUTE y23 REAL
@ATTRIBUTE z23 REAL
@ATTRIBUTE class {sitting, standing}

@DATA
283.31583,107.57123,2479107,274.97736,164.07394,2489.6614,275.06448,202.75426,2470.8333,242.81439,164.85202,2497.2112,227.09753,216.18292,2558.3936,220.68016,255.79471,2314.9998,307.33594,163.29114,2482.1116,326.34668,214.42902,2511.6536,316.2689,257.2406,2293.8672,252.14232,242.41663,2457.3203,234.79533,307.09613,2102.8403,253.00795,391.7632,2202.6887,298.2636,241.63887,2446.6902,321.43756,293.43173,2056461,302.77835,385.43314,2150.6355,sitting
283.3434,107.38115,2483.7239,274.6284,164.43837,2492.9487,275.04236,203.38194,2474.4688,242.69728,165.33499,2498124,226.51552,215.03886,2564.9382,222.10025,232.3535,2391.7307,306.69232,163.53801,2487.7734,325.69925,216.15813,2512.9954,316.69064,250.57869,2249644,252.2951,243.44412,2459.6858,235.05043,307.41998,2097.8445,252.29536,391.04257,2184.3032,298.69986,242.3774,2452.2917,319.40933,298.5639,2074.3523,301.34448,380.5392,2178.0894,sitting
283.74908,108.027916,2485.5144,274.57623,164.45471,2488.7239,274.8142,203.99146,2476.4912,242757,165.31364,2499188,226.57478,214.41293,2570.9902,219.59663,237.23833,2381.1184,306.66415,163.58852,2478.26,325.76917,215.28325,2505.3872,315.6622,249.88725,2251.3452,251.8676,244.30417,2471.7996,239.96709,309.56204,2114.6624,252.52965,397.6921,2162.6294,298.3838,243.53496,2456.7173,316.5537,295.37918,2083.0117,302.4104,383.52173,2164.8567,sitting
284.02472,108.16746,2483.9792,274329,164.38918,2487.6216,274.85364,203.93105,2474.6372,242.05371,165.46709,2497.1968,226.47076,214.5973,2568.16,218.41586,239.16763,2375.2678,306.85373,163.30295,2478.0464,325.61325,215.42986,2506.0767,314.85306,248.33528,2265.4438,252.10623,244.44754,2468.4783,237.60834,305.3005,2100.1748,252.2205,393.09692,2169.3296,298.79077,243.32948,2454.8274,317.4688,295.7633,2049444,302.37195,384.0122,2160.2195,sitting
284.72232,109.46905,2482.3198,274.2101,164.13335,2488.3762,274.95218,203.90697,2476.2192,241.86075,165.45076,2499.8274,226.08238,214.28322,2567.9092,204.04271,253.88536,2325.0444,306.85858,162.80374,2476925,325.53806,215.16757,2505.0317,314.84082,247.70891,2264.9185,252.51566,244.7547,2472.1772,242.11693,305.2715,2101.7092,252.19887,391.3131,2169.1313,299.0407,243.38692,2455.9473,319.0925,295.34613,2053.5107,302.2327,384.7726,2159609,sitting
284.53766,109.18343,2481.5261,274.29532,164.24773,2487.7505,274.9348,203.99998,2475.0571,241.91664,165.4653,2498.5044,226.02313,214.40823,2567.0034,203.44823,245.63593,2365.9849,306.95514,163.01958,2476.9963,321.76337,222.30432,2474604,314.91953,247.74915,2265.3086,252.2726,244.79085,2470.0159,237.83406,309.4042,2092.0012,252.2555,392.2357,2163942,299.03452,243.52939,2454712,318.17453,294.19946,2064.2944,301.6481,386.4894,2155.4333,sitting
285.56818,110.46195,2474.6907,274.22937,163.29337,2483.9263,274.1844,204.17345,2469049,241945,164.18082,2498.0273,217.98843,210.53653,2536224,170.20103,274.45172,2345.0984,306.88242,162.39578,2469.8252,325.40204,216.24469,2495.1953,321.91815,256.39078,2252.9314,250.5775,245.85797,2464.3242,236.41615,306.87424,2098.2139,252.27145,391559,2158.7227,297.8959,245.2378,2444.0195,323.52087,297.09906,2084.0715,301.89923,387.34912,2164.9692,sitting
285.1738,109.81329,2474.89,274.8172,162.4986,2481.7312,274.6415,203.66872,2469.6272,242.8222,163.13908,2494.6733,217.75441,210.4371,2535.3752,157.11346,271.8998,2390.4043,307.1476,161.85141,2468789,327.74506,212.15799,2505.9597,321.8342,258.79575,2286.2214,250.75748,245.4009,2467.0068,238.38675,306.68402,2098385,252.36105,391.12573,2161.6475,298.3544,245.08669,2448.0396,322.79443,294.91434,2076.9644,301.84872,386.90955,2165.1265,sitting
285.55228,109.615036,2471.5864,275.5455,162.18982,2477.7139,275.1996,203.38986,2471827,244.16501,162.62083,2493.5325,212.10933,209.39938,2528.7786,147.12863,261911,2457.0266,307.32925,161.75327,2461895,327.6138,213.3107,2495.0645,322.76926,256.04077,2296.6711,250.83731,244.71545,2477972,237.68178,305.8649,2096.4065,251.73338,391.90225,2155.5884,299.1022,244.85847,2453.9082,323.50848,292.3039,2080.1768,302.50485,385.47125,2172.1038,sitting
286.16553,108.98436,2466.3254,276.10437,164.5586,2474.2366,275.91156,206.87263,2470.1099,244.56781,165.04552,2490461,206.41072,207.10797,2526.5276,146.47229,253.50452,2470.0156,308.05728,164.06526,2458.0125,326.43625,213.56712,2475.9722,320.06964,253.33444,2289.5354,253.19081,249.28162,2477.5132,231706,301.24747,2089011,250.85765,387.62775,2153.9863,298.45706,249.3754,2454.4531,323.80176,294.75214,2079.5618,303.1587,388.07983,2173.7422,sitting
